player_name,team,salary
Isaiah Mobley,CLE,508891
Jack White,DEN,508891
Buddy Boeheim,DET,508891
Darius Days,HOU,508891
Trevor Hudgins,HOU,508891
Kendall Brown,IND,508891
Cole Swider,LAL,508891
Jamal Cain,MIA,508891
Luka Garza,MIN,508891
Kevon Harris,ORL,508891
Keon Ellis,SAC,508891
Neemias Queta,SAC,508891
Dominick Barlow,SAS,508891
Julian Champagnie,SAS/PHI,508891
Jeff Dowtin,TOR,508891
Micah Potter,UTA,508891
Johnny Juzang,UTA,508891
John Butler,POR,503041
Chima Moneke,SAC,500000
Facundo Campazzo,DAL,464299
Orlando Robinson,MIA,386055
Dru Smith,BRK/MIA,374357
Jared Rhoden,DET,307089
Louis King,PHI,307089
Jarrett Culver,ATL,260295
Olivier Sarr,OKC,257371
Alondes Williams,BRK,254446
Donovan Williams,ATL,239822
Quenton Jackson,WAS,219630
Chris Silva,DAL,211045
Tyler Dorsey,DAL,201802
Braxton Key,DET,201802
Jordan Hall,SAS,193027
Alize Johnson,SAS,192293
Devon Dotson,WAS,169630
Mac McClung,PHI,160856
Xavier Cooks,WAS,140384
Shaquille Harrison,POR,134862
Lester Quinones,GSW,129405
Xavier Moon,LAC,116986
Jamaree Bouyea,MIA/WAS,116986
Jay Huff,WAS,116986
Skylar Mays,POR,116574
Frank Jackson,UTA,113114
Deonte Burton,SAC,105522
Jarrell Brantley,UTA,105522
Xavier Sneed,CHO,102910
Lindell Wigginton,MIL,99438
Jordan Schakel,WAS,96514
Stanley Umude,DET,58493
Jeenathan Williams,POR,52644
Jay Scrubb,ORL,49719
Justin Minaya,POR,35096
Kobi Simmons,CHO,32795
Gabe York,IND,32171
RaiQuan Gray,BRK,5849
Jacob Gilyard,MEM,5849
